Link,name,brand,image,price
https://www.macys.com/shop/product/applewatch-series3-gpscellular-38mm-silver-aluminum-case-with-white-sport-band?ID=7119019&CategoryID=239616,"Apple Watch Series 3 GPS + Cellular, 38mm Silver Aluminum Case with White Sport Band",Apple Watch Series 3,"https://slimages.macysassets.com/is/image/MCY/products/0/optimized/9007110_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$379.00 
https://www.macys.com/shop/product/gucci-womens-swiss-guccissima-stainless-steel-bangle-bracelet-watch-36mm-ya134302?ID=855818&CategoryID=239616,Women's Swiss Guccissima Stainless Steel Bangle Bracelet Watch 36mm YA134302,Gucci,"https://slimages.macysassets.com/is/image/MCY/products/4/optimized/3660854_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$620.00 
https://www.macys.com/shop/product/samsung-galaxy-active-2-gray-silicone-strap-touchscreen-smart-watch-40mm?ID=10197457&CategoryID=239616,Galaxy Active 2 Gray Silicone Strap Touchscreen Smart Watch 40mm,Samsung,"https://slimages.macysassets.com/is/image/MCY/products/6/optimized/15214316_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$279.99 
https://www.macys.com/shop/product/applewatch-series3-gpscellular-42mm-space-gray-aluminum-case-with-black-sport-band?ID=7119022&CategoryID=239616,"Apple Watch Series 3 GPS + Cellular, 42mm Space Gray Aluminum Case with Black Sport Band",Apple Watch Series 3,"https://slimages.macysassets.com/is/image/MCY/products/0/optimized/10482700_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$409.00 
https://www.macys.com/shop/product/samsung-galaxy-active-2-gray-silicone-strap-touchscreen-smart-watch-44mm?ID=10197445&CategoryID=239616,Galaxy Active 2 Gray Silicone Strap Touchscreen Smart Watch 44mm,Samsung,"https://slimages.macysassets.com/is/image/MCY/products/8/optimized/15217988_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$299.99 
https://www.macys.com/shop/product/citizen-mens-chronograph-two-tone-stainless-steel-bracelet-watch-41mm-an3394-59l?ID=558714&CategoryID=239616,Men's Chronograph Two Tone Stainless Steel Bracelet Watch 41mm AN3394-59L,Citizen,"https://slimages.macysassets.com/is/image/MCY/products/8/optimized/916098_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$129.99 
https://www.macys.com/shop/product/citizen-mens-stainless-steel-bracelet-watch-42mm-ag8340-58e?ID=1523974&CategoryID=239616,Men's Stainless Steel Bracelet Watch 42mm AG8340-58E,Citizen,"https://slimages.macysassets.com/is/image/MCY/products/4/optimized/2178084_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$129.99 
https://www.macys.com/shop/product/samsung-gear-fit2-pro-smart-fitness-band-with-rubber-strap-smart-watch-25x51mm?ID=5150815&CategoryID=239616,Gear Fit2 Pro Smart Fitness Band with Rubber Strap Smart Watch 25x51mm,Samsung,"https://slimages.macysassets.com/is/image/MCY/products/7/optimized/8877057_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$199.99 
https://www.macys.com/shop/product/applewatch-series3-gpscellular-38mm-space-gray-aluminum-case-with-black-sport-band?ID=7119020&CategoryID=239616,"Apple Watch Series 3 GPS + Cellular, 38mm Space Gray Aluminum Case with Black Sport Band",Apple Watch Series 3,"https://slimages.macysassets.com/is/image/MCY/products/9/optimized/10482589_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$379.00 
https://www.macys.com/shop/product/bulova-mens-futuro-diamond-dress-diamond-accent-gold-tone-stainless-steel-bracelet-watch-42mm?ID=4819955&CategoryID=239616,Men's Futuro Diamond Dress Diamond-Accent Gold-Tone Stainless Steel Bracelet Watch 42mm,Bulova,"https://slimages.macysassets.com/is/image/MCY/products/6/optimized/8750146_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$425.00 
